Sno,Monitor Name,Description,Custom_SQL
1,Completeness: FULL_NAME Not Null,"Checks that the FULL_NAME field is populated for all records in customer_data. Ensures no missing customer names, which are critical for identification.",SELECT COUNT(*) FROM customer_data WHERE FULL_NAME IS NULL
2,Completeness: DATE_OF_BIRTH Not Null,"Checks that the DATE_OF_BIRTH field is populated for all records in customer_data. Ensures no missing birth dates, which are important for age validation and segmentation.",SELECT COUNT(*) FROM customer_data WHERE DATE_OF_BIRTH IS NULL
3,Completeness: GENDER Not Null,"Checks that the GENDER field is populated for all records in customer_data. Ensures no missing gender information, which may be required for reporting and analytics.",SELECT COUNT(*) FROM customer_data WHERE GENDER IS NULL
4,Completeness: ADDRESS Not Null,"Checks that the ADDRESS field is populated for all records in customer_data. Ensures no missing address information, which is essential for contact and compliance.",SELECT COUNT(*) FROM customer_data WHERE ADDRESS IS NULL
5,Completeness: PHONE_NUMBER Not Null,"Checks that the PHONE_NUMBER field is populated for all records in customer_data. Ensures no missing phone numbers, which are necessary for customer communication.",SELECT COUNT(*) FROM customer_data WHERE PHONE_NUMBER IS NULL
6,Completeness: EMAIL_ADDRESS Not Null,"Checks that the EMAIL_ADDRESS field is populated for all records in customer_data. Ensures no missing email addresses, which are required for digital communication.",SELECT COUNT(*) FROM customer_data WHERE EMAIL_ADDRESS IS NULL
7,Completeness: NATID Not Null,"Checks that the NATID field is populated for all records in customer_data. Ensures no missing national IDs, which are important for regulatory compliance and unique identification.",SELECT COUNT(*) FROM customer_data WHERE NATID IS NULL
8,Completeness: OCCUPATION Not Null,"Checks that the OCCUPATION field is populated for all records in customer_data. Ensures no missing occupation information, which may be used for segmentation and eligibility.",SELECT COUNT(*) FROM customer_data WHERE OCCUPATION IS NULL
9,Completeness: CUSTOMER_TYPE Not Null,"Checks that the CUSTOMER_TYPE field is populated for all records in customer_data. Ensures no missing customer type, which is used for segmentation and business logic.",SELECT COUNT(*) FROM customer_data WHERE CUSTOMER_TYPE IS NULL
10,Completeness: ACCOUNT_NUMBERS Not Null,"Checks that the ACCOUNT_NUMBERS field is populated for all records in customer_data. Ensures no missing account numbers, which are necessary for financial operations.",SELECT COUNT(*) FROM customer_data WHERE ACCOUNT_NUMBERS IS NULL
